,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,aucune,any
26,place,square
27,parle,speak
28,savais,knew
29,étaient,were
30,attention,Warning
31,voici,here is
32,pourrais,could
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
37,donné,given
38,train,train
39,corps,body
40,endroit,place
41,yeux,eyes
42,façon,way
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,première,first
49,côté,side
50,pouvoir,power
51,sois,be
52,tiens,here
53,matin,morning
54,tellement,so much
55,enfant,child
56,point,point
57,venu,came
58,suite,after
59,pardon,sorry
60,venez,come
61,devant,in front of
62,vers,towards
63,minutes,minutes
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,droit,law
68,aimerais,would like to
69,aujourd'hui,today
70,mari,husband
71,cause,cause
72,enfin,finally
73,espère,hope
74,eau,water
75,attendez,Wait
76,nouvelle,new
77,boulot,job
78,arrêter,Stop
79,dirait,would say
80,compte,account
81,loin,far
82,fin,end
83,croire,believe
84,chérie,sweetheart
85,plutôt,rather
86,aura,will have
87,filles,girls
88,jouer,to play
89,bureau,office
